frequency (MHz)  ; fluoresence (counts/s)
-3.1263070 ; 160.0000000 
-3.3280630 ; 155.0000000 
-3.5254259 ; 158.0000000 
-3.7394629 ; 168.0000000 
-3.9221683 ; 156.0000000 
-4.1215415 ; 159.0000000 
-4.3486042 ; 153.0000000 
-4.5355220 ; 153.0000000 
-4.7429452 ; 151.0000000 
-4.9362988 ; 140.0000000 
-5.1343036 ; 131.0000000 
-5.3333578 ; 142.0000000 
-5.5368462 ; 154.0000000 
-5.7553444 ; 126.0000000 
-5.9370542 ; 122.0000000 
-6.1407213 ; 113.0000000 
-6.3364654 ; 136.0000000 
-6.5380764 ; 110.0000000 
-6.7511978 ; 138.0000000 
-6.9613175 ; 139.0000000 
-7.1556730 ; 114.0000000 
-7.3394289 ; 127.0000000 
-7.5635052 ; 127.0000000 
-7.7566657 ; 107.0000000 
-7.9450583 ; 97.0000000 
-8.1450748 ; 120.0000000 
-8.3444395 ; 108.0000000 
-8.5436792 ; 119.0000000 
-8.7606344 ; 150.0000000 
-8.9628773 ; 116.0000000 
-9.1687369 ; 105.0000000 
-9.3620324 ; 108.0000000 
-9.5709095 ; 99.0000000 
-9.7616253 ; 100.0000000 
-9.9522271 ; 98.0000000 
-10.1789684 ; 119.0000000 
-10.3764529 ; 75.0000000 
-10.5721512 ; 104.0000000 
-10.7508101 ; 111.0000000 
-10.9691014 ; 82.0000000 
-11.1707983 ; 91.0000000 
-11.3661466 ; 90.0000000 
-11.5536895 ; 95.0000000 
-11.7549539 ; 106.0000000 
-11.9700704 ; 89.0000000 
-11.9710279 ; 87.0000000 
-11.7914619 ; 88.0000000 
-11.5835867 ; 79.0000000 
-11.3603654 ; 89.0000000 
-11.1681056 ; 76.0000000 
-10.9776354 ; 82.0000000 
-10.7984304 ; 91.0000000 
-10.5640554 ; 111.0000000 
-10.3698282 ; 65.0000000 
-10.1768456 ; 78.0000000 
-9.9613347 ; 108.0000000 
-9.7683325 ; 116.0000000 
-9.5623922 ; 116.0000000 
-9.3582845 ; 100.0000000 
-9.1726003 ; 112.0000000 
-8.9519835 ; 112.0000000 
-8.7430153 ; 83.0000000 
-8.5576854 ; 91.0000000 
-8.3415575 ; 115.0000000 
-8.1520538 ; 110.0000000 
-7.9493036 ; 123.0000000 
-7.7571921 ; 136.0000000 
-7.5746551 ; 124.0000000 
-7.3352671 ; 123.0000000 
-7.1694365 ; 126.0000000 
-6.9572563 ; 117.0000000 
-6.7675343 ; 128.0000000 
-6.5441513 ; 128.0000000 
-6.3583813 ; 136.0000000 
-6.1603441 ; 147.0000000 
-5.9459872 ; 119.0000000 
-5.7560277 ; 155.0000000 
-5.5604935 ; 121.0000000 
-5.3385825 ; 169.0000000 
-5.1367745 ; 144.0000000 
-4.9344482 ; 164.0000000 
-4.7351551 ; 128.0000000 
-4.5508413 ; 140.0000000 
-4.3461194 ; 175.0000000 
-4.1429458 ; 158.0000000 
-3.9182754 ; 148.0000000 
-3.7414494 ; 132.0000000 
-3.5397096 ; 180.0000000 
-3.3342805 ; 184.0000000 
-3.1511283 ; 184.0000000 
-2.9280529 ; 183.0000000 
