Time	CAG	GRAV	RES
57120.47652	-260.5018	0.27808	-10.87846
57120.47848	-284.79734	0.29392	-20.95115
57120.48046	-292.11295	0.30972	-14.07463
57120.48252	-298.65117	0.32422	-7.58425
57120.48461	-310.41461	0.34254	-2.89056
57120.48656	-353.63708	0.35609	-33.94857
57120.48852	-351.09085	0.37009	-18.82301
57120.49056	-338.4821	0.38505	7.22436
57120.49266	-370.34155	0.39926	-11.87271
57120.49462	-397.26228	0.41562	-24.0947
57120.49659	-398.85081	0.42998	-12.7874
57120.49865	-408.74982	0.44333	-10.69148
57120.50075	-422.06412	0.45838	-10.49142
57120.5027	-431.36554	0.47115	-8.32296
57120.50466	-448.56983	0.48586	-12.31322
57120.50671	-454.8752	0.49732	-8.3256
57120.50882	-468.92066	0.51077	-10.28496
57120.51078	-473.0027	0.52377	-2.68851
57120.51274	-478.5123	0.53591	2.70721
57120.51477	-509.15146	0.5473	-17.70384
57120.51686	-517.71025	0.56012	-14.75179
57120.51881	-510.29901	0.57077	2.23254
57120.52077	-529.75436	0.58335	-5.9271
57120.5228	-556.91512	0.59268	-24.70291
57120.52489	-539.34153	0.60521	4.11973
57120.52685	-547.05802	0.61592	6.02624
57120.52882	-589.92658	0.6248	-28.8623
57120.53089	-588.16081	0.63488	-18.0441
57120.533	-579.50612	0.64448	-0.77027
57120.53496	-599.41589	0.65213	-13.80662
57120.53694	-604.4996	0.66094	-10.97628
57120.53899	-613.62574	0.66883	-13.01786
57120.54109	-637.39786	0.6783	-28.27646
57120.54309	-627.55025	0.68827	-9.47259
57120.54506	-629.33312	0.69302	-6.99343
57120.5471	-632.37566	0.70058	-3.24899
57120.54919	-648.164	0.70906	-11.41497
57120.55114	-655.72887	0.71544	-13.25248
57120.5531	-657.81349	0.71743	-13.54319
57120.55513	-666.6597	0.72663	-14.13133
57120.55723	-668.25287	0.73078	-11.99438
57120.5592	-657.59846	0.73424	1.76505
57120.56116	-692.67554	0.74102	-27.21914
57120.5692	-693.99679	0.75294	-17.83558
57120.57127	-691.86964	0.75698	-12.0748
57120.5734	-690.3224	0.76084	-7.05989
57120.57536	-680.88437	0.7643	5.48567
57120.57731	-694.98491	0.7656	-7.45025
57120.57934	-693.09113	0.76556	-5.59317
57120.58145	-714.79642	0.76852	-24.63383
57120.58343	-703.87473	0.76801	-14.17253
57120.58539	-700.03196	0.76878	-9.63664
57120.58744	-696.6769	0.76878	-6.28294
57120.58955	-716.61909	0.76816	-26.78037
57120.59151	-691.05242	0.767	-2.26202
57120.59347	-693.03979	0.76682	-4.40594
57120.59551	-670.13528	0.76333	15.36017
57120.59759	-688.99416	0.76277	-3.99714
57120.59955	-685.49905	0.75815	-4.65799
57120.60151	-679.08795	0.75575	-0.3999
57120.60355	-683.7937	0.75405	-6.63759
57120.60564	-657.33987	0.74923	15.48686
57120.60761	-689.43474	0.74695	-18.65488
57120.60959	-670.53731	0.74151	-4.63672
57120.61162	-677.23499	0.7388	-13.77661
57120.61371	-653.54049	0.73282	4.5495
57120.61568	-661.22694	0.72843	-7.08312
57120.61767	-651.68011	0.72279	-2.60263
57120.61976	-656.41111	0.7164	-13.06984
57120.6219	-657.26245	0.70997	-19.70009
57120.62389	-632.05081	0.70251	-1.18549
57120.62584	-643.03823	0.69643	-17.63558
57120.62788	-637.57072	0.68802	-19.72186
57120.62997	-617.4248	0.68202	-4.96874
57120.63192	-613.06772	0.6747	-7.18584
57120.63389	-624.83671	0.66551	-27.21005
57120.63592	-596.32244	0.65678	-6.53807
57120.638	-585.39656	0.64733	-4.09447
57120.63996	-585.10766	0.6397	-10.65768
57120.64192	-571.42695	0.62967	-5.98943
57120.64396	-561.68068	0.62168	-3.42334
57120.64604	-556.94232	0.61104	-8.23894
57120.64801	-545.89561	0.60112	-6.10339
57120.64999	-532.38395	0.59088	-1.79463
57120.65203	-522.24829	0.57885	-2.4574
57120.65411	-536.79454	0.56702	-27.63302
57120.65608	-514.49825	0.55697	-14.3694
57120.65804	-470.1559	0.54495	19.17621
57120.66008	-494.36853	0.53603	-13.04223
57120.66219	-490.7693	0.52219	-21.87814
57120.66417	-453.16786	0.51085	5.54251
57120.66615	-452.70229	0.49817	-5.38682
57120.66825	-443.64075	0.48608	-7.18416
57120.67036	-441.80615	0.47222	-17.79803
57120.67231	-423.07825	0.45804	-11.81058
57120.67428	-415.71918	0.44709	-14.28651
57120.67634	-393.36079	0.43099	-6.38654
57120.67842	-399.26951	0.41836	-23.64394
57120.68038	-366.4727	0.4054	-2.48461
57120.68236	-368.20312	0.39146	-16.74001
57120.68443	-354.15175	0.37784	-14.92064
57120.68656	-338.1469	0.36171	-13.40141
57120.68854	-316.34574	0.34844	-3.52242
57120.6905	-300.78078	0.3353	0.24164
57120.69254	-300.57486	0.3195	-13.75019
57120.69464	-269.4594	0.30435	3.75712
57120.69664	-264.32731	0.28917	-4.7431
57120.69862	-250.39418	0.27442	-4.06372
57120.70067	-243.74612	0.25906	-11.21121
57120.70278	-232.60272	0.24376	-13.80604
57120.70474	-223.39453	0.22887	-17.97744
57120.70669	-219.664	0.21156	-29.79121
57120.70874	-190.17726	0.19615	-14.14952
57120.71086	-179.24569	0.1805	-17.27723
57120.71281	-150.24267	0.16574	-1.53453
57120.71477	-131.65241	0.15124	4.03787
57120.71681	-131.23837	0.13421	-10.85186
57120.71892	-104.90182	0.1161	-0.78222
57120.7209	-110.53861	0.10103	-19.95014
57120.72287	-96.89888	0.08762	-18.36
57120.72491	-94.55439	0.06967	-32.1424
57120.72701	-45.48909	0.0545	3.29754
57120.729	-46.18998	0.03893	-11.38837
57120.731	-11.09759	0.02154	8.08206
57120.73306	-26.90277	0.00516	-22.43559
57120.73515	0.25853	-0.01043	-9.27878
57120.73711	7.24984	-0.02606	-16.3192
57120.73908	27.63802	-0.04068	-9.06668
57120.74111	45.52586	-0.05701	-5.85136
57120.74321	62.1337	-0.07553	-5.87583
57120.74516	78.43398	-0.09018	-2.73417
57120.74712	80.44974	-0.10363	-12.80115
57120.74915	101.88225	-0.12077	-6.76833
57120.75124	105.62811	-0.13599	-16.68547
57120.7532	123.9647	-0.15077	-11.63149
57120.75516	144.31558	-0.1659	-4.87156
57120.75721	158.96982	-0.18344	-5.97178
57120.75933	175.82373	-0.19716	-1.44297
57120.76131	171.93185	-0.2124	-19.01792
57120.76326	191.91503	-0.22769	-12.77604
57120.7653	206.36596	-0.24304	-12.10743
57120.76739	224.97731	-0.25753	-6.51719
57120.76934	224.86342	-0.2711	-18.81875
57120.7713	250.19262	-0.28499	-5.96151
57120.77334	267.15592	-0.30155	-3.87366
57120.77543	286.89441	-0.31669	2.25853
57120.77739	276.08879	-0.32907	-19.66222
57120.77935	297.85766	-0.34298	-10.38493
57120.7814	303.13416	-0.35567	-16.51133
57120.78351	316.68614	-0.37244	-18.02024
57120.78546	341.65694	-0.38363	-3.09988
57120.78742	368.74179	-0.39737	11.64061
57120.78946	371.5019	-0.41071	2.41221
57120.79156	364.86847	-0.42488	-16.94267
57120.79351	396.67762	-0.43873	2.4237
57120.79547	401.20048	-0.4482	-1.55896
57120.7975	401.45164	-0.46184	-13.56104
57120.7996	407.64177	-0.47361	-17.94421
57120.80159	433.31601	-0.4854	-2.86384
57120.80359	439.5849	-0.49717	-7.16482
57120.80565	437.67322	-0.50894	-19.64648
57120.80775	451.82465	-0.52118	-16.48837
57120.80973	476.79844	-0.53189	-1.13399
57120.81169	481.90935	-0.54154	-4.69449
57120.81372	494.40723	-0.55539	-4.63953
57120.81582	492.17863	-0.56524	-15.70942
57120.8178	515.0292	-0.5757	-2.25877
57120.81976	505.35151	-0.58479	-20.09966
57120.8218	523.40766	-0.59632	-12.40035
57120.82389	531.59333	-0.60607	-12.97106
57120.82584	536.96412	-0.61337	-14.15941
57120.8278	568.08605	-0.62374	7.64939
57120.82984	562.53436	-0.63198	-5.31029
57120.83193	565.97329	-0.64132	-10.25317
57120.83388	585.44466	-0.65016	1.26975
57120.83584	592.59302	-0.65817	1.22251
57120.83788	600.94533	-0.66619	2.3714
57120.83997	608.22806	-0.6734	3.17888
57120.84194	596.65425	-0.68066	-14.90936
57120.84392	624.45608	-0.688	6.29702
57120.84596	596.81679	-0.69514	-27.75447
57120.84805	617.42748	-0.70389	-15.00663
57120.85001	631.03984	-0.7086	-5.62159
57120.85197	628.63562	-0.71592	-14.60215
